模版名称,网站名称,网站域名,网站链接
_app_1_m_sohu_com.py,搜狐客户端,m.sohu.com,http://m.sohu.com/ch/8/
_bbs_100_www_szbbs_org.py,随州论坛,bbs.szbbs.org,http://www.szbbs.org/forum.php
_bbs_101_szbbs_sznews_com.py,深圳论坛,szbbs.sznews.com,https://szbbs.sznews.com/portal.php
_bbs_102_bbs_szcw_cn.py,苏e车友会,bbs.szcw.cn,http://bbs.szcw.cn/forum.php
_bbs_103_bbs_szhome_com.py,家在深圳,bbs.szhome.com,http://bbs.szhome.com/
_bbs_104_index_bbs_taobao_com.py,淘宝论坛,bbs.taobao.com,https://index.bbs.taobao.com/home.html
_bbs_105_bbs_tech-food_com.py,中国食品科技网论坛,bbs.tech-food.com,http://bbs.tech-food.com/
_bbs_106_bbs_tiexue_net.py,铁血论坛,bbs.tiexue.net,https://bbs.tiexue.net
_bbs_107_bbs_tnbz_com.py,甜蜜家园糖尿病论坛,bbs.tnbz.com,http://bbs.tnbz.com/
_bbs_108_bbs_wangjing_cn.py,望京网论坛,bbs.wangjing.cn,http://bbs.wangjing.cn/
_bbs_109_bbs_58che_com.py,汽车点评网论坛,bbs.58che.com,https://bbs.58che.com/
_bbs_10_www_belle8_com.py,百丽吧,belle8.com,http://www.belle8.com/forum.php?mod=forumdisplay&fid=5
_bbs_110_www_xh0523_com.py,兴化论坛,www.xh0523.com/,https://www.xh0523.com//forum.php
_bbs_111_bbs_xinpg_com.py,新平果论坛,bbs.xinpg.com,http://bbs.xinpg.com/
_bbs_112_bbs_xmhouse_com.py,厦门房地产联合网论坛,bbs.xmhouse.com,http://bbs.xmhouse.com/
_bbs_113_bbs_xnnews_com_cn.py,咸宁论坛,bbs.xnnews.com.cn,http://bbs.xnnews.com.cn/forum.php
_bbs_114_bbs_yangshengzhu_com.py,养生论道论坛,bbs.yangshengzhu.com,http://bbs.yangshengzhu.com/forum.php
_bbs_115_bbs_yaolan_com.py,摇篮网论坛,bbs.yaolan.com,http://bbs.yaolan.com/
_bbs_116_bbs_yaozh_com.py,药智论坛,bbs.yaozh.com,https://bbs.yaozh.com/forum.php
_bbs_117_bbs_ybxww_com.py,互动宜宾论坛,bbs.ybxww.com,http://bbs.ybxww.com/portal.php
_bbs_118_bbs_yingjiesheng_com.py,应届生论坛,bbs.yingjiesheng.com,http://bbs.yingjiesheng.com/forum.php
_bbs_119_www_ytbbs_com.py,烟台论坛,www.ytbbs.com,http://www.ytbbs.com/
_bbs_11_bbs_0439_com.py,白山论坛,bbs.0439.com,http://bbs.0439.com/forum-41-1.html
_bbs_120_www_yycqc_com.py,云阳人家,yycqc.com,http://www.yycqc.com/forum.php
_bbs_121_bbs_zcinfo_net.py,诸城资讯港城市论坛,bbs.zcinfo.net,http://bbs.zcinfo.net/forum.php
_bbs_122_bbs_zol_com_cn.py,中关村在线论坛,bbs.zol.com.cn,http://bbs.zol.com.cn/
_bbs_123_bbs_zxwindow_com.py,钟祥论坛,bbs.zxwindow.com,http://bbs.zxwindow.com/
_bbs_124_bbs_tiexue_net.py,滨海论坛,bhwang.cn,http://www.bhwang.cn/forum.php/
_bbs_125_bjmama_com.py,北京妈妈,www.bjmama.com,http://bjmama.com
_bbs_126_bj_leju_com.py,新浪乐居论坛,bj.leju.com,http://bj.leju.com/
_bbs_127_bbs_tiexue_net.py,博体球讯,bt888.net,https://www.bt888.net/
_bbs_128_bbs_tiexue_net.py,卡牛,cardniu.com,https://bbs.cardniu.com/
_bbs_129_cd_qq_com.py,大成网-有话说,cd.qq.com,https://cd.qq.com/
_bbs_12_bbs_tiexue_net.py,宝宝知道,baidu.com,https://baobao.baidu.com/channel
_bbs_130_bbs_tiexue_net.py,中国经济网,ce.cn,http://www.ce.cn/
_bbs_131_www_chcj_com.py,创幻财经,www.chcj.com,http://www.chcj.com/portal.php
_bbs_132_bbs_58che_com.py,58车论坛,bbs.58che.com,http://bbs.58che.com
_bbs_133_bbs_tiexue_net.py,成都市人民政府网络理政平台,chengdu.gov.cn,http://12345.chengdu.gov.cn
_bbs_134_www_chengshiluntan_com.py,城市论坛,www.chengshiluntan.com,https://www.chengshiluntan.com/
_bbs_135_bbs_tiexue_net.py,车神榜车友论坛,cheshen.cn,http://www.cheshen.cn/
_bbs_136_www_chinaunix_net.py,unix技术网,www.chinaunix.net,http://www.chinaunix.net/
_bbs_137_bbs_tiexue_net.py,营口论坛,chinayk.com,http://www.chinayk.com/
_bbs_138_www_chiphell_com.py,chiphell论坛,www.chiphell.com,https://www.chiphell.com/
